skill,x,y,NbEmployees,NbEmployeesLastYear,NbEmployeesFromLastYearStillHere,AvgExperience,AvgCost,TotalCost,Variation,Turnover,PointOfFailure
sketching,0.4701161717728582,0.9324670594991001,3,3.0,3.0,3.3,81500,244500,0.0,0.0,0
industrial design,0.5039227094048938,0.9065659899774416,1,1.0,1.0,4.0,81500,81500,0.0,0.0,1
interaction design,0.4646594354998356,0.910801161513304,2,2.0,2.0,3.0,72750,145500,0.0,0.0,1
graphic design,0.5309870692603363,0.7743112204301672,5,6.0,5.0,2.8,72800,364000,-1.0,0.16666666666666666,0
model making,0.5049300821334233,0.9272415799437608,1,1.0,1.0,2.0,81500,81500,0.0,0.0,1
architecture,0.5067829440845111,0.7572807131518047,4,4.0,4.0,3.0,87375,349500,0.0,0.0,0
product design,0.4927663534822344,0.9388344077361404,4,4.0,4.0,3.5,81500,326000,0.0,0.0,0
modeling,0.5126980559359464,0.9500199897035773,2,2.0,2.0,1.5,61500,123000,0.0,0.0,1
indesign,0.4804423912207932,0.8976243860180301,2,3.0,2.0,3.0,81500,163000,-1.0,0.33333333333333337,1
illustrator,0.5395933579834857,0.9549920096198635,6,7.0,6.0,3.3,73000,438000,-1.0,0.1428571428571429,0
usability testing,0.5475394624059863,0.9277861080712292,1,1.0,1.0,3.0,115500,115500,0.0,0.0,1
design strategy,0.458837508854548,0.9625832458377456,1,1.0,1.0,2.0,81500,81500,0.0,0.0,1
manufacturing,0.0712415801720944,0.4339908555483105,5,6.0,5.0,3.6,92900,464500,-1.0,0.16666666666666666,0
rhino,0.4772820175857316,0.9717224462916124,1,1.0,1.0,4.0,81500,81500,0.0,0.0,1
packaging,0.44921450902538806,0.9358008439385788,1,1.0,1.0,2.0,81500,81500,0.0,0.0,1
research,0.3250761832083468,0.6159834784124705,13,12.0,11.0,2.5,73269,952497,1.0,0.08333333333333337,0
user-centered design,0.5188777322789705,0.9801953399634934,1,1.0,1.0,2.0,81500,81500,0.0,0.0,1
strategic planning,0.01953675422647103,0.4480387829006165,19,19.0,16.0,3.2,89578,1701982,0.0,0.1578947368421053,0
product marketing,0.04865747178168177,0.4837700490612941,3,2.0,2.0,3.0,93166,279498,1.0,0.0,0
marketing management,0.05788022741206876,0.5240876740797109,6,6.0,5.0,2.8,106583,639498,0.0,0.16666666666666666,0
social media,0.045688046938816416,0.41343803822039327,18,13.0,13.0,2.1,79527,1431486,5.0,0.0,0
budgeting,0.07786911118315978,0.381310672401216,3,3.0,2.0,3.3,133833,401499,0.0,0.33333333333333337,0
product strategy,0.07345661199164098,0.4825059891279918,1,2.0,1.0,3.0,124500,124500,-1.0,0.5,1
product development,0.0224206040475513,0.5009324655028828,9,9.0,7.0,2.8,107000,963000,0.0,0.2222222222222222,0
saas,0.12243778621009022,0.44714473190541737,1,1.0,0.0,0.0,72500,72500,0.0,0.0,1
engineering,0.3668495861816152,0.26551415047960786,12,7.0,7.0,2.2,91041,1092492,5.0,0.0,0
product launch,0.05122789953383956,0.45321435383745795,4,5.0,4.0,3.5,92875,371500,-1.0,0.2,0
account management,0.12701549452908786,0.33955074629060217,13,11.0,10.0,2.8,76769,997997,2.0,0.09090909090909094,0
competitive analysis,0.03224636266120805,0.519770048767475,3,4.0,3.0,3.7,118500,355500,-1.0,0.25,0
pharmaceutical industry,0.08199603312117547,0.41482448945236816,4,3.0,3.0,3.2,85500,342000,1.0,0.0,0
advertising,0.0077321797830728735,0.4074857689014225,16,14.0,13.0,2.1,71531,1144496,2.0,0.0714285714285714,0
telecommunications,0.16164522357578676,0.3248106404436964,7,12.0,7.0,4.3,82428,576996,-5.0,0.4166666666666666,0
english,0.09183276951456619,0.35708654746461843,5,4.0,4.0,2.4,92100,460500,1.0,0.0,0
user experience,0.22172490727521485,0.33203446520966384,7,6.0,6.0,3.3,87071,609497,1.0,0.0,0
business strategy,0.1441395135805209,0.28657434344301214,9,8.0,6.0,3.3,97055,873495,1.0,0.25,0
powerpoint,0.10418217762367903,0.38244713981199774,8,9.0,6.0,2.4,66875,535000,-1.0,0.33333333333333337,0
c,0.8302646951917428,0.6464684515266442,9,7.0,7.0,2.8,83000,747000,2.0,0.0,0
html,0.9049767002436913,0.734672468431822,18,21.0,12.0,2.1,88638,1595484,-3.0,0.4285714285714286,0
software development,0.8638044727762428,0.6779200520882563,11,10.0,8.0,3.0,90409,994499,1.0,0.2,0
lead generation,0.20465557048189198,0.4705648535975515,4,3.0,3.0,2.8,87500,350000,1.0,0.0,0
marketing strategy,0.023067027378427675,0.4186602545078857,13,10.0,10.0,2.8,84153,1093989,3.0,0.0,0
sales management,0.14961853636078284,0.36074215762969025,7,8.0,6.0,3.1,101285,708995,-1.0,0.25,0
marketing,0.020068698687274518,0.39677707414554647,12,8.0,8.0,2.3,82458,989496,4.0,0.0,0
retail,0.20597907743668997,0.5009630062828784,1,2.0,1.0,3.0,72500,72500,-1.0,0.5,1
market research,0.11380294880211501,0.4172588560088189,10,12.0,10.0,3.7,83700,837000,-2.0,0.16666666666666666,0
cloud computing,0.09554958743179054,0.47697230189513595,4,4.0,3.0,3.2,65000,260000,0.0,0.25,0
public speaking,0.16671724194365284,0.4001409156574542,9,6.0,6.0,2.4,84500,760500,3.0,0.0,0
customer service,0.10430381142313147,0.32545736761860067,23,23.0,21.0,3.2,78152,1797496,0.0,0.08695652173913049,0
facebook,0.22943571267539392,0.6457881789585089,3,1.0,1.0,0.7,53833,161499,2.0,0.0,0
event planning,0.12775999463561108,0.3774046783208089,6,5.0,3.0,1.5,85166,510996,1.0,0.4,0
sales,0.12622860727775653,0.35738679311241933,13,13.0,10.0,3.2,76076,988988,0.0,0.23076923076923075,0
recruiting,0.12789167633227885,0.4028911940479595,1,1.0,1.0,3.0,85500,85500,0.0,0.0,1
online marketing,0.10126172659346218,0.592901140888451,2,2.0,2.0,2.5,70500,141000,0.0,0.0,1
marketing communications,0.03562005392905327,0.38514293663298976,8,8.0,5.0,3.2,83187,665496,0.0,0.375,0
digital media,0.09818626931340162,0.61374622698721,2,2.0,2.0,1.5,48500,97000,0.0,0.0,1
seo,0.1946431637826877,0.6912638918937626,3,3.0,2.0,2.7,54333,162999,0.0,0.33333333333333337,0
twitter,0.2479523341187741,0.6371892431289082,1,0.0,0.0,1.0,53000,53000,0.0,0.0,1
email marketing,0.1981309206394864,0.6571936876747099,2,3.0,2.0,5.5,58500,117000,-1.0,0.33333333333333337,1
public relations,0.0,0.3894212620729658,9,7.0,7.0,2.2,56111,504999,2.0,0.0,0
market planning,0.14735912848104105,0.565934576905946,1,1.0,1.0,3.0,124500,124500,0.0,0.0,1
digital marketing,0.121676160767182,0.5926272139334385,5,7.0,4.0,2.2,80800,404000,-2.0,0.4285714285714286,0
auditing,0.23124242274897655,0.05523739735959871,1,1.0,1.0,6.0,102500,102500,0.0,0.0,1
financial analysis,0.22999439125860838,0.13951900382159924,1,1.0,0.0,1.0,73500,73500,0.0,0.0,1
accounts receivable,0.2294834853897892,0.09339235022000676,2,2.0,2.0,3.5,75250,150500,0.0,0.0,1
consolidation,0.21802239921674962,0.07164035697599645,1,1.0,1.0,6.0,102500,102500,0.0,0.0,1
sap,0.2885182523539976,0.19895103817928358,1,0.0,0.0,1.0,73500,73500,0.0,0.0,1
accounting,0.2635240047105782,0.08563199920941397,3,4.0,3.0,4.7,123000,369000,-1.0,0.25,0
forecasting,0.2515230571602917,0.13920432977879696,3,4.0,3.0,4.7,124500,373500,-1.0,0.25,0
managerial finance,0.20565674399363051,0.12523294231132587,1,1.0,1.0,6.0,102500,102500,0.0,0.0,1
new business development,0.13108938733347095,0.2773152272729773,16,16.0,14.0,3.2,95187,1522992,0.0,0.125,0
coaching,0.22860124643519206,0.29060506687223503,7,6.0,6.0,4.0,108357,758499,1.0,0.0,0
risk management,0.2389073539449026,0.2520274270535857,1,2.0,1.0,1.0,85500,85500,-1.0,0.5,1
team leadership,0.12336456912033733,0.3060402112617099,27,27.0,22.0,2.8,91833,2479491,0.0,0.18518518518518526,0
workforce management,0.20794608892445862,0.29984585372938255,2,2.0,2.0,2.0,85500,171000,0.0,0.0,1
call center,0.22474030964261307,0.3114652627763313,1,1.0,1.0,1.0,85500,85500,0.0,0.0,1
customer relations,0.16076069865999795,0.3046696262630597,4,3.0,3.0,3.0,71875,287500,1.0,0.0,0
operations management,0.18640892492975772,0.3250114752001146,3,3.0,2.0,3.0,132833,398499,0.0,0.33333333333333337,0
negotiation,0.10421177888385581,0.2816791791108448,10,11.0,9.0,3.2,101450,1014500,-1.0,0.18181818181818174,0
inventory management,0.3173422340654815,0.24778492879374517,2,2.0,2.0,5.0,94250,188500,0.0,0.0,1
supply chain management,0.3253255467037628,0.22787136813292166,3,3.0,3.0,5.3,102666,307998,0.0,0.0,0
vendor management,0.27039030888837506,0.29237005717445314,2,4.0,2.0,5.5,125250,250500,-2.0,0.5,1
personal development,0.25783712735732967,0.4239028693451569,2,2.0,1.0,1.5,102000,204000,0.0,0.5,1
sports marketing,0.24203949531349542,0.4416581096532014,1,1.0,1.0,3.0,80500,80500,0.0,0.0,1
organizational development,0.3067084333731943,0.3898629284970754,1,3.0,1.0,3.0,172000,172000,-2.0,0.6666666666666667,1
mentoring,0.227862118983221,0.3869847200046171,1,1.0,1.0,3.0,112500,112500,0.0,0.0,1
microsoft word,0.08080937387703771,0.34160460456345376,4,1.0,1.0,1.0,66375,265500,3.0,0.0,0
cisco technologies,0.5564807154764068,0.4883759875261149,3,2.0,2.0,2.7,69833,209499,1.0,0.0,0
hyper-v,0.5471469938654617,0.5029235504114118,1,0.0,0.0,1.0,69000,69000,0.0,0.0,1
tcp/ip,0.5797417912554261,0.5248611498285547,1,1.0,1.0,3.0,66000,66000,0.0,0.0,1
perl,0.5690706790270784,0.5090372327108569,1,1.0,1.0,2.0,69000,69000,0.0,0.0,1
citrix,0.5791220891319258,0.4964866936315115,2,0.0,0.0,1.0,69000,138000,0.0,0.0,1
copywriting,0.224967820898841,0.6720141499294784,2,1.0,1.0,0.5,66000,132000,1.0,0.0,1
social networking,0.21504135084240122,0.698426677297168,10,12.0,10.0,3.5,59650,596500,-2.0,0.16666666666666666,0
technical writing,0.26499927624143965,0.6730058957872788,1,1.0,1.0,5.0,47500,47500,0.0,0.0,1
wordpress,0.532420747921041,0.7391841050199112,4,4.0,3.0,3.0,53000,212000,0.0,0.25,0
strategic sourcing,0.35249208385845865,0.20942192697941825,2,1.0,1.0,2.5,77750,155500,1.0,0.0,1
sourcing,0.5799450480759594,0.093545986370593,4,3.0,3.0,3.2,68500,274000,1.0,0.0,0
mrp,0.3434450889391301,0.19576353816052916,1,1.0,1.0,5.0,82500,82500,0.0,0.0,1
sas,0.4543265171846939,0.4124238058215098,1,1.0,1.0,5.0,72500,72500,0.0,0.0,1
sql,0.8750187784608626,0.7256404431962841,16,17.0,11.0,2.7,83937,1342992,-1.0,0.3529411764705882,0
analytics,0.04584173585509207,0.5030409272489317,8,10.0,7.0,3.2,87437,699496,-2.0,0.30000000000000004,0
spss,0.4781209524280369,0.41073553982252026,1,2.0,1.0,3.0,72500,72500,-1.0,0.5,1
c++,0.866419844850135,0.7094284285092283,9,7.0,6.0,2.3,89000,801000,2.0,0.1428571428571429,0
r,0.4720990590673774,0.3936939986978936,1,2.0,1.0,5.0,72500,72500,-1.0,0.5,1
virtualization,0.5943554891275036,0.36370880568197694,3,2.0,2.0,2.3,64333,192999,1.0,0.0,0
windows server,0.5733015799117273,0.36788775148792513,6,5.0,5.0,2.8,58333,349998,1.0,0.0,0
active directory,0.5950132906041984,0.3837392188381926,5,2.0,2.0,2.2,67700,338500,3.0,0.0,0
technical support,0.5288223608745938,0.38669451421919576,2,2.0,2.0,3.5,60500,121000,0.0,0.0,1
c#,0.8408287288650619,0.7173871011849088,15,15.0,12.0,3.1,81966,1229490,0.0,0.2,0
windows,0.9206089552645919,0.700878316667912,11,9.0,9.0,3.5,65772,723492,2.0,0.0,0
servers,0.5464174299968942,0.3911750622421456,1,1.0,1.0,3.0,66000,66000,0.0,0.0,1
network security,0.529452130267862,0.4277090649429811,1,1.0,1.0,1.0,47000,47000,0.0,0.0,1
chemistry,0.52124836443997,0.40541139955231464,1,1.0,1.0,4.0,81500,81500,0.0,0.0,1
biotechnology,0.36538216699202225,0.43167846769344825,2,2.0,2.0,5.0,69250,138500,0.0,0.0,1
writing,0.307640304807224,0.6313978554153792,3,3.0,3.0,2.3,58000,174000,0.0,0.0,0
editing,0.28871298525144334,0.6733256960362773,2,0.0,0.0,0.5,53000,106000,0.0,0.0,1
photoshop,0.33221441344767166,0.6479353841959012,6,4.0,3.0,0.8,56083,336498,2.0,0.25,0
itil,0.5520077739211762,0.3426582149779843,7,6.0,6.0,4.0,69571,486997,1.0,0.0,0
microsoft sql server,0.8560713631106512,0.650475156804396,9,9.0,8.0,2.9,77333,695997,0.0,0.11111111111111116,0
computer hardware,0.5756620479401966,0.3892026418816347,1,1.0,1.0,4.0,57000,57000,0.0,0.0,1
security,0.07408745979033009,0.757110047994293,5,4.0,4.0,3.4,72700,363500,1.0,0.0,0
troubleshooting,0.5778228107827523,0.33210802001711004,7,4.0,4.0,2.3,66642,466494,3.0,0.0,0
stakeholder management,0.4239983496005948,0.31025677841996224,1,1.0,1.0,4.0,72000,72000,0.0,0.0,1
information technology,0.46543546927864465,0.327931437267189,1,2.0,1.0,6.0,78000,78000,-1.0,0.5,1
requirements gathering,0.42526686433644306,0.33519988503294823,2,0.0,0.0,1.0,72750,145500,0.0,0.0,1
administration,0.5777526304826648,0.35022755854452553,7,4.0,4.0,2.3,65571,458997,3.0,0.0,0
volunteer management,0.1514681243505029,0.542761558669755,1,0.0,0.0,0.0,132500,132500,0.0,0.0,1
blogging,0.2065775343276464,0.6764779127528707,6,4.0,4.0,2.5,53000,318000,2.0,0.0,0
community management,0.23596662630976536,0.6858429538470402,2,2.0,2.0,2.5,70500,141000,0.0,0.0,1
video games,0.25320741019246296,0.6228229627431334,1,1.0,1.0,1.0,50000,50000,0.0,0.0,1
linux,0.8360521806674944,0.6249871094668575,13,13.0,9.0,2.9,69500,903500,0.0,0.3076923076923077,0
financial modeling,0.29907824362136753,0.1445700173250766,2,2.0,2.0,3.0,126750,253500,0.0,0.0,1
lifesciences,0.7049211294311744,0.5072645827938314,1,2.0,1.0,1.0,90500,90500,-1.0,0.5,1
javascript,0.502470575159201,0.7253721300622037,7,6.0,6.0,3.0,68142,476994,1.0,0.0,0
quality assurance,0.30394207162533754,0.4773083215855691,1,0.0,0.0,1.0,57000,57000,0.0,0.0,1
team management,0.17144799342717706,0.34186572850591745,1,1.0,1.0,3.0,172000,172000,0.0,0.0,1
integration,0.4732994017910777,0.35922367533080535,2,2.0,2.0,3.5,78000,156000,0.0,0.0,1
management consulting,0.3995156035319831,0.36770760910042133,4,3.0,2.0,2.2,117000,468000,1.0,0.33333333333333337,0
agile methodologies,0.8694880955406761,0.6250847699463684,5,1.0,1.0,0.8,92900,464500,4.0,0.0,0
business requirements,0.4108843052310438,0.35329444268236315,1,1.0,1.0,4.0,73500,73500,0.0,0.0,1
environmental awareness,0.3897538712042454,0.5054180014182337,1,2.0,1.0,2.0,55500,55500,-1.0,0.5,1
teamwork,0.31780543179508036,0.46066755445056223,3,3.0,3.0,3.0,78333,234999,0.0,0.0,0
cross-functional team leadership,0.06552009052509639,0.4988982134058644,4,4.0,4.0,3.5,120250,481000,0.0,0.0,0
performance management,0.48001105811125155,0.06799144838780564,4,4.0,3.0,3.0,80625,322500,0.0,0.25,0
product management,0.04365767428943027,0.5529649501527709,3,3.0,2.0,3.0,105333,315999,0.0,0.33333333333333337,0
instructional design,0.43487150867213603,0.14372411828503248,1,0.0,0.0,1.0,62500,62500,0.0,0.0,1
workshop facilitation,0.3192405763122554,0.3831234864563632,1,1.0,1.0,5.0,111000,111000,0.0,0.0,1
market analysis,0.0801440687650189,0.5099388917462279,1,2.0,1.0,4.0,89500,89500,-1.0,0.5,1
employee relations,0.48241946997832963,0.012122602448356098,3,4.0,2.0,1.7,77166,231498,-1.0,0.5,0
human resources,0.4603080324956745,0.061182946347275516,2,3.0,2.0,2.0,60500,121000,-1.0,0.33333333333333337,1
technical recruiting,0.505451552500857,0.018578471514347324,4,3.0,3.0,2.0,73000,292000,1.0,0.0,0
interviewing,0.49098088218367825,0.047646861306465414,2,2.0,2.0,2.0,73000,146000,0.0,0.0,1
talent acquisition,0.4906990373752847,0.029403218577331247,5,4.0,3.0,2.4,80600,403000,1.0,0.25,0
internal controls,0.2632791485623706,0.05484650538271656,1,1.0,1.0,2.0,164000,164000,0.0,0.0,1
six sigma,0.5178540607762948,0.2378400137552366,2,1.0,1.0,2.5,99750,199500,1.0,0.0,1
distributed systems,0.5590005162914384,0.24280750760653982,1,1.0,1.0,4.0,121000,121000,0.0,0.0,1
web design,0.5475579761086318,0.7884061619699115,2,3.0,2.0,5.0,69250,138500,-1.0,0.33333333333333337,1
photography,0.22551410104847353,0.9048866698334118,3,2.0,2.0,1.0,63166,189498,1.0,0.0,0
ms project,0.3092176180294715,0.34035539812517884,1,1.0,1.0,1.0,52000,52000,0.0,0.0,1
cardiology,0.3501711100069617,0.462166157071759,2,0.0,0.0,1.0,71250,142500,0.0,0.0,1
executive search,0.5187528568057378,0.08169839863319839,1,1.0,1.0,1.0,73000,73000,0.0,0.0,1
continuous improvement,0.09900477257036679,0.5017133250203772,2,2.0,2.0,4.5,116000,232000,0.0,0.0,1
business planning,0.06708278392774523,0.46370677270361715,1,2.0,1.0,6.0,119500,119500,-1.0,0.5,1
sem,0.1165141504355673,0.6369759429393737,1,1.0,1.0,1.0,69500,69500,0.0,0.0,1
digital strategy,0.16046367868550154,0.6390519439224049,3,3.0,3.0,3.7,63166,189498,0.0,0.0,0
non-profits,0.30895944648019835,0.6123241298677579,1,1.0,1.0,1.0,63500,63500,0.0,0.0,1
scrum,0.8415594098841552,0.6703649868814132,7,9.0,5.0,2.3,83357,583499,-2.0,0.4444444444444444,0
apache,0.798986831003771,0.6470221193046723,5,3.0,3.0,2.0,70000,350000,2.0,0.0,0
integrated marketing,0.17178060723808153,0.5952730802557842,3,3.0,3.0,3.3,73666,220998,0.0,0.0,0
wcf,0.8334098936607016,0.6857496944030931,3,3.0,1.0,1.3,78333,234999,0.0,0.6666666666666667,0
mysql,0.8816770472551831,0.6910633322020672,15,15.0,11.0,2.1,85433,1281495,0.0,0.2666666666666667,0
php,0.8942639370275293,0.6734070776853793,15,16.0,11.0,2.7,77500,1162500,-1.0,0.3125,0
shell scripting,0.6074049050476296,0.4416705625833759,1,0.0,0.0,1.0,69000,69000,0.0,0.0,1
vmware,0.640840936156126,0.4332172485185764,6,5.0,5.0,3.5,65750,394500,1.0,0.0,0
sharepoint,0.5900825110588862,0.4238299584392207,1,0.0,0.0,1.0,69000,69000,0.0,0.0,1
e-commerce,0.15046522022407688,0.615202157067558,2,2.0,2.0,4.5,95000,190000,0.0,0.0,1
salesforce.com,0.17319265967271028,0.4481686009468028,1,2.0,1.0,2.0,52000,52000,-1.0,0.5,1
segmentation,0.07060484311745388,0.552630946561726,1,1.0,1.0,4.0,89500,89500,0.0,0.0,1
xml,0.8526111927685723,0.7361107818669733,11,13.0,7.0,2.3,84727,931997,-2.0,0.4615384615384616,0
eclipse,0.8339704836690932,0.7407755794938549,2,2.0,1.0,2.5,83000,166000,0.0,0.5,1
management development,0.4463721429020595,0.12423995866227323,2,2.0,2.0,5.0,47500,95000,0.0,0.0,1
unix,0.6845338943211248,0.4207387685822474,1,1.0,1.0,2.0,69000,69000,0.0,0.0,1
web services,0.8160173968620804,0.622550536141154,7,7.0,4.0,1.9,80642,564494,0.0,0.4285714285714286,0
project coordination,0.24765847832784807,0.5454447056392369,1,1.0,1.0,1.0,48000,48000,0.0,0.0,1
fundraising,0.26840099313519394,0.5512016352447731,2,2.0,2.0,4.0,63750,127500,0.0,0.0,1
fmcg,0.31714835356034454,0.27508735305417364,1,1.0,1.0,1.0,127000,127000,0.0,0.0,1
statistics,0.41095521523060774,0.3995800399333963,2,2.0,2.0,3.5,81000,162000,0.0,0.0,1
access,0.41798988626193634,0.43653219727601905,3,3.0,3.0,3.7,66500,199500,0.0,0.0,0
sql server,0.812792486797218,0.6697606071708673,8,6.0,5.0,2.1,81687,653496,2.0,0.16666666666666666,0
outlook,0.20359354132532229,0.4147848863837661,1,1.0,1.0,3.0,51000,51000,0.0,0.0,1
web development,0.8086375650633633,0.7578856054829701,8,11.0,6.0,2.6,80625,645000,-3.0,0.4545454545454546,0
linq,0.8123041434945109,0.6887128416316359,3,1.0,1.0,2.0,83000,249000,2.0,0.0,0
.net,0.831229086683855,0.7594919334519412,11,9.0,8.0,2.4,81500,896500,2.0,0.11111111111111116,0
asp.net,0.8146709528051559,0.7402626838095003,9,12.0,8.0,3.3,87000,783000,-3.0,0.33333333333333337,0
vb.net,0.8042915008117875,0.7072596932058113,3,2.0,2.0,3.3,83000,249000,1.0,0.0,0
json,0.7664442232701654,0.6744734786095168,6,6.0,5.0,4.0,83000,498000,0.0,0.16666666666666666,0
subversion,0.8006634350149535,0.725797605176498,4,5.0,3.0,1.8,82375,329500,-1.0,0.4,0
ajax,0.7838360743170375,0.7606859644074251,8,12.0,7.0,3.2,80625,645000,-4.0,0.4166666666666666,0
css,0.798394909120515,0.7776593082352278,11,13.0,9.0,3.5,80181,881991,-2.0,0.3076923076923077,0
entity framework,0.7062671085468395,0.6591940958707584,1,2.0,1.0,4.0,83000,83000,-1.0,0.5,1
agile,0.8847410618142504,0.6570816363090235,3,2.0,1.0,0.7,82166,246498,1.0,0.5,0
uml,0.7948389867090858,0.6901388896807419,2,2.0,1.0,1.0,81750,163500,0.0,0.5,1
visual studio,0.8212666353399578,0.7220596506357946,3,7.0,3.0,3.0,83000,249000,-4.0,0.5714285714285714,0
hibernate,0.7540386605889545,0.6576536709087648,7,10.0,6.0,3.0,83000,581000,-3.0,0.4,0
objective-c,0.8229053724685756,0.7052506704827646,8,6.0,6.0,2.0,83000,664000,2.0,0.0,0
tdd,0.7708312798427713,0.6958489082481107,2,2.0,2.0,4.0,83000,166000,0.0,0.0,1
jquery,0.822376966727357,0.7794553058334626,14,14.0,11.0,2.6,82821,1159494,0.0,0.2142857142857143,0
databases,0.8518767663893344,0.6969084950688897,4,3.0,3.0,4.2,82500,330000,1.0,0.0,0
git,0.775502802975872,0.7331827929111719,4,4.0,4.0,5.0,83000,332000,0.0,0.0,0
tfs,0.7237179296434355,0.7091573897338044,1,1.0,1.0,5.0,83000,83000,0.0,0.0,1
ios development,0.764193365143581,0.7168982111490834,3,3.0,2.0,3.0,83000,249000,0.0,0.33333333333333337,0
web applications,0.7617450103020651,0.749823383442124,6,5.0,5.0,3.2,83000,498000,1.0,0.0,0
python,0.8671948244392137,0.765533580051386,1,5.0,1.0,1.0,83000,83000,-4.0,0.8,1
programming,0.7890623756927883,0.6700250944047135,3,4.0,2.0,3.0,83000,249000,-1.0,0.5,0
oop,0.7941288922557524,0.7424122646058617,4,4.0,3.0,1.5,83000,332000,0.0,0.25,0
t-sql,0.7862925398005216,0.7095617348762163,5,3.0,3.0,1.4,83000,415000,2.0,0.0,0
design patterns,0.7412627980247642,0.7194963474905646,1,0.0,0.0,1.0,83000,83000,0.0,0.0,1
analytical chemistry,0.8853704372989516,0.35421212111209766,1,1.0,1.0,1.0,90500,90500,0.0,0.0,1
chromatography,0.9057844065314121,0.336059712350316,1,1.0,1.0,1.0,90500,90500,0.0,0.0,1
molecular biology,0.8853704372989516,0.35421212111209766,1,1.0,1.0,3.0,81500,81500,0.0,0.0,1
spectroscopy,0.8853704372989516,0.35421212111209766,1,1.0,1.0,1.0,90500,90500,0.0,0.0,1
hardware,0.6470178357666292,0.47493943918754083,2,2.0,2.0,5.0,63500,127000,0.0,0.0,1
analysis,0.4783559866921413,0.5609535798773452,4,4.0,3.0,4.5,87750,351000,0.0,0.25,0
operating systems,0.6064041835621155,0.48983170525180825,1,1.0,1.0,4.0,57000,57000,0.0,0.0,1
matlab,0.6817473980337324,0.3271349623566425,1,2.0,1.0,3.0,64500,64500,-1.0,0.5,1
network administration,0.5504419615375793,0.44041105997241153,3,1.0,1.0,2.7,72000,216000,2.0,0.0,0
xp,0.5531712635925577,0.3757062161726654,1,1.0,1.0,4.0,49000,49000,0.0,0.0,1
physical security,0.04574340077874561,0.7352198472300532,1,1.0,1.0,5.0,132000,132000,0.0,0.0,1
iis,0.6898116233661706,0.671091032719999,1,0.0,0.0,1.0,69000,69000,0.0,0.0,1
legal research,0.7173224559809114,0.05894827052805525,1,1.0,1.0,6.0,131000,131000,0.0,0.0,1
mediation,0.6976477433507717,0.0807103661491549,1,1.0,1.0,4.0,111000,111000,0.0,0.0,1
commercial litigation,0.7290765584676032,0.08349949743174569,2,2.0,2.0,5.0,121000,242000,0.0,0.0,1
legal writing,0.7033897679033898,0.1069903998410826,1,1.0,1.0,4.0,111000,111000,0.0,0.0,1
litigation,0.7290765584676032,0.08349949743174569,2,2.0,2.0,5.0,121000,242000,0.0,0.0,1
corporate governance,0.7459699408243429,0.047810549822373205,1,1.0,1.0,4.0,111000,111000,0.0,0.0,1
legal advice,0.7459699408243429,0.047810549822373205,1,1.0,1.0,4.0,111000,111000,0.0,0.0,1
recruitment advertising,0.5287853270117854,0.0481963906107107,4,2.0,2.0,1.2,73000,292000,2.0,0.0,0
workforce planning,0.5687582126707446,0.04032593869337455,1,0.0,0.0,0.0,73000,73000,0.0,0.0,1
contract recruitment,0.5607145351589613,0.06719896191573878,3,2.0,2.0,1.3,73000,219000,1.0,0.0,0
due diligence,0.7124037132482015,0.14123098164998224,2,0.0,0.0,1.0,133000,266000,0.0,0.0,1
