skill,x,y,size
product support engineer,398.5409736633301,241.46754837036133,6
general manager,158.59593200683594,418.98939514160156,28
service delivery manager,372.9596939086914,219.84207916259766,10
technical support engineer,384.4209861755371,252.01588821411133,14
product manager,108.31558227539062,423.12127685546875,66
team leader,195.1248016357422,503.0998840332031,12
"vice president, marketing",141.2587890625,397.8703918457031,8
founder and ceo,145.6273193359375,379.4588317871094,4
marketing manager,122.93550109863281,431.89019775390625,54
business development manager,121.48149108886719,449.2185516357422,68
area sales manager,269.4111022949219,551.29931640625,18
regional sales manager,256.3182678222656,543.7747650146484,32
hr executive,192.71250915527344,485.8415832519531,6
it manager,351.1063585281372,153.94223022460938,8
recruiter,212.77984619140625,474.9507598876953,6
marketing & communication manager,251.93447875976562,381.4285583496094,4
communications manager,235.9986114501953,350.44736099243164,6
communications specialist,328.6407389640808,174.78683471679688,2
director of communications,316.87434577941895,166.48157501220703,2
communications advisor,315.7926387786865,180.87516021728516,2
pr manager,240.50540161132812,369.90230560302734,4
chief information officer,631.7668151855469,77.98516845703125,2
advisory services,631.7668151855469,77.98516845703125,2
security manager,631.7668151855469,77.98516845703125,2
security specialist,631.7668151855469,77.98516845703125,2
security analyst,631.7668151855469,77.98516845703125,2
security consultant,631.7668151855469,77.98516845703125,2
security advisor,631.7668151855469,77.98516845703125,2
java developer,631.7668151855469,77.98516845703125,2
country manager,232.50830841064453,402.9315872192383,8
marketing director,142.0572509765625,416.73551177978516,20
"director, product management",124.62356567382812,412.2214584350586,24
ceo & founder,201.77247619628906,445.0015563964844,8
company director,491.847900390625,324.2385997772217,2
realtor,491.847900390625,324.2385997772217,2
human resources business partner,507.933349609375,326.646915435791,2
sourcing specialist,491.847900390625,324.2385997772217,2
hr business partner,530.5549926757812,316.0488224029541,4
sales specialist,500.2662353515625,304.53448963165283,4
business manager,244.02896118164062,533.0843963623047,12
director of engineering,474.42578125,182.80028533935547,4
art director,168.41346740722656,216.1930389404297,26
branch manager,173.89715576171875,464.63623046875,6
talent acquisition,400.2532615661621,497.3338317871094,12
sales executive,182.41651916503906,454.18756103515625,12
media consultant,277.2785873413086,239.91102600097656,2
eigenaar,292.7453918457031,231.23233032226562,2
planning director,273.3968925476074,226.25985717773438,2
marketing executive,290.96542739868164,245.57571029663086,2
broker,286.22996520996094,218.64117431640625,2
desktop support,383.87895584106445,236.7234992980957,6
systems administrator,364.10915756225586,147.46340942382812,10
operations manager,172.498046875,439.7740478515625,26
internship,215.93498992919922,292.3381189107895,2
postdoctoral researcher,224.56358337402344,278.0170726776123,4
mobile developer,228.83733367919922,293.1554536819458,2
user experience designer,198.30078125,275.12917137145996,6
marketing specialist,224.04256439208984,313.01048278808594,4
superintendent,457.927978515625,315.8041362762451,2
business intelligence consultant,327.51105308532715,287.3912754058838,2
relationship manager,317.8833541870117,281.9149742126465,2
it support,356.4576606750488,201.9518585205078,2
customer support engineer,383.7753372192383,205.3417205810547,8
it support technician,365.9769916534424,190.8696517944336,2
technical manager,365.9769916534424,190.8696517944336,2
sales engineer,392.6318702697754,218.6907730102539,6
researcher,220.40372467041016,244.08455276489258,10
research analyst,483.0769348144531,102.41743469238281,4
mba candidate,675.6109008789062,258.6700782775879,4
associate consultant,344.4160780906677,141.0615234375,8
research assistant,202.05136108398438,238.15739822387695,6
director general,526.6485748291016,211.05196380615234,2
"vice president, human resources",375.4019203186035,328.3726043701172,4
it helpdesk,383.8992042541504,282.1385974884033,4
technical specialist,376.6129035949707,269.79114532470703,8
service manager,366.8481273651123,283.0650939941406,4
vice president of sales,216.8694076538086,402.135498046875,4
senior product marketing manager,158.88412475585938,373.4313430786133,4
assistant manager,323.92743968963623,528.3308563232422,4
network specialist,307.9127674102783,330.5588493347168,2
network manager,307.9127674102783,330.5588493347168,2
technical consultant,394.8423614501953,297.4071695804596,16
sales representative,285.9986877441406,566.689697265625,16
head of production,57.994842529296875,281.2277202606201,4
research executive,291.837158203125,366.55186462402344,2
phd student,291.837158203125,366.55186462402344,2
chief technology officer,330.3552656173706,331.47651290893555,2
financial consultant,336.9244263470173,346.4331245422363,2
technology consultant,330.3552656173706,331.47651290893555,2
junior consultant,321.8246955871582,346.4548530578613,2
psychologist,441.59439849853516,507.95606994628906,4
technical recruiter,437.46692657470703,524.1338806152344,6
secretary,430.8013916015625,494.4376678466797,2
auxiliar,424.3200988769531,508.07647705078125,2
project coordinator,418.4334716796875,524.0442199707031,6
gerente,458.1936950683594,498.7471923828125,2
consulente,458.1936950683594,498.7471923828125,2
development coordinator,458.1936950683594,498.7471923828125,2
founder and owner,480.0747375488281,389.528076171875,2
founder and chairman,480.0747375488281,389.528076171875,2
lawyer,463.0708694458008,401.7930221557617,4
attorney at law,463.0708694458008,401.7930221557617,4
compliance manager,463.0708694458008,401.7930221557617,4
webmaster,170.91885375976562,271.8430004119873,2
designer,153.65652465820312,266.4515800476074,10
graphic designer,156.02667236328125,282.03942680358887,10
creative director,147.50067138671875,300.89477252960205,16
web developer,118.79841613769531,272.6461639404297,14
visual designer,162.1807403564453,252.64923095703125,8
director of marketing,180.77679443359375,377.8758544921875,8
finance specialist,244.37158203125,54.807525634765625,6
accounting clerk,244.37158203125,54.807525634765625,6
laboratory manager,244.37158203125,54.807525634765625,6
network administrator,261.3956069946289,71.86074829101562,12
product development manager,228.92675018310547,70.3951416015625,6
analista de sistemas,244.37158203125,54.807525634765625,6
medical student,244.37158203125,54.807525634765625,6
business improvement manager,33.6923828125,301.1276979446411,6
reliability engineer,19.538970947265625,293.3929817080498,6
assistant vice president,31.40179443359375,318.0593509674072,2
technical sales,15.497283935546875,309.3375825881958,4
software architect,51.96563720703125,307.71103954315186,6
territory manager,262.66699981689453,448.6013946533203,4
controller,273.27145767211914,455.4307098388672,2
"associate director, business development",445.5641174316406,320.6965751647949,2
sales director,157.41419982910156,443.7880859375,10
purchasing manager,381.1972312927246,58.75712585449219,2
category manager,363.0564479827881,58.808807373046875,2
sourcing manager,387.31828689575195,75.87580871582031,2
strategic sourcing manager,372.52967834472656,71.25137329101562,2
buyer,372.9382972717285,86.60556030273438,2
purchaser,358.0473747253418,76.03656005859375,2
brand manager,182.78070068359375,404.84295654296875,4
avvocato,458.7930145263672,380.61084747314453,2
legal counsel,458.7930145263672,380.61084747314453,2
attorney,458.7930145263672,380.61084747314453,2
creative designer,165.97622680664062,299.30252027511597,2
ui designer,135.35043334960938,273.802583694458,8
bartender,312.2652950286865,450.4796600341797,2
independent consultant,300.8818016052246,458.13250732421875,2
supply chain manager,313.28520011901855,464.8486022949219,2
product designer,332.41719102859497,455.03350830078125,4
national key account manager,262.06917572021484,475.1757507324219,2
support analyst,422.42154693603516,302.3622922897339,2
field engineer,426.11260986328125,292.0254809856415,2
community manager,214.24752807617188,345.76380920410156,6
responsable de comunicación,384.63086700439453,412.94815826416016,2
chef de produit,384.63086700439453,412.94815826416016,2
digital strategist,383.3008270263672,395.2445831298828,2
ejecutiva de cuentas,398.9756660461426,402.8683319091797,2
social media strategist,355.3973865509033,407.3974380493164,4
social media coordinator,383.3008270263672,395.2445831298828,2
chief executive officer,162.53509521484375,388.27561950683594,6
founder & ceo,161.4095001220703,354.7765007019043,6
user experience architect,205.25787353515625,263.48179817199707,2
director of accounting,297.43615341186523,414.39569091796875,4
channel manager,318.81425285339355,410.82418060302734,4
director of sales,320.48098945617676,396.59619140625,6
director of customer service,297.4945983886719,400.4884567260742,4
manager - operations,224.17037963867188,137.91018676757812,2
crm manager,224.17037963867188,137.91018676757812,2
digital director,169.94361877441406,170.8375015258789,2
co-owner,169.94361877441406,170.8375015258789,2
engineering manager,174.61883544921875,153.7095184326172,2
senior software development engineer,169.94361877441406,170.8375015258789,2
blogger,169.94361877441406,170.8375015258789,2
technician,405.41207122802734,202.27955627441406,4
project engineer,406.10567474365234,188.09056091308594,2
portfolio manager,654.5668334960938,247.37961959838867,2
financial analyst,673.6479187011719,237.1067352294922,2
head of operations,657.6306457519531,226.2580795288086,2
counselor,657.6306457519531,226.2580795288086,2
investment director,654.5668334960938,247.37961959838867,2
investment banking analyst,636.4609680175781,234.03807067871094,4
head of department,654.5668334960938,247.37961959838867,2
director of security,654.5668334960938,247.37961959838867,2
technical lead,101.96391296386719,276.6932773590088,4
web designer,111.62666320800781,256.5277900695801,4
interaction designer,167.42105102539062,237.06582641601562,2
director of product marketing,26.025787353515625,278.1475238800049,6
business consultant,8.1964111328125,279.0155601501465,6
projectleider,19.044403076171875,263.23005867004395,2
business project manager,0.0,295.62106704711914,2
scrum master,38.61273193359375,286.4395351409912,4
senior hr generalist,226.624755859375,215.17262268066406,2
marketing intern,226.624755859375,215.17262268066406,2
mechanical engineer,587.8698425292969,139.49462890625,10
engineer,437.99816131591797,215.313232421875,4
system analyst,419.6370315551758,210.7377166748047,2
product specialist,294.76268768310547,538.1848754882812,8
social media manager,222.22725677490234,359.2675323486328,6
online marketing,562.3216552734375,430.14666748046875,8
hr assistant,229.5150604248047,328.8610610961914,2
coordenador da qualidade,592.9945068359375,409.9514923095703,4
comprador,573.6396636962891,407.36058044433594,2
marketing coordinator,592.9945068359375,409.9514923095703,4
sócio,592.9945068359375,409.9514923095703,4
account director,577.4613189697266,427.8701629638672,6
configuration manager,356.04131507873535,133.63023376464844,6
media planner,209.94672393798828,374.1460418701172,6
crm consultant,43.743438720703125,269.5218925476074,2
accountant,229.06244659423828,456.56663513183594,2
accountmanager,229.06244659423828,456.56663513183594,2
executive director,266.69652557373047,279.9634323120117,2
gerente comercial,266.69652557373047,279.9634323120117,2
marketing consultant,258.1823501586914,268.85256004333496,2
artistic director,261.1470260620117,184.16414642333984,4
interior designer,245.50218963623047,172.77456665039062,4
job seeker,259.1185302734375,168.9779815673828,4
hostess,247.50493621826172,187.02943420410156,4
head of marketing,198.2332305908203,385.85030364990234,4
event manager,276.0046615600586,175.16938018798828,2
customer service representative,177.83848571777344,349.4457893371582,2
application developer,112.57279968261719,232.38109588623047,2
software consultant,112.57279968261719,232.38109588623047,2
senior .net developer,87.04133605957031,251.19944381713867,2
freelance,87.04133605957031,251.19944381713867,2
director of human resources,553.4626770019531,294.59628251194954,2
chief human resources officer,553.4626770019531,294.59628251194954,2
compensation & benefits manager,570.6503753662109,300.4543704986572,2
analista de recursos humanos,570.6503753662109,300.4543704986572,2
corporate hr,570.6503753662109,300.4543704986572,2
cashier,527.0318908691406,247.31668853759766,2
operations executive,540.0499877929688,252.46464157104492,2
voorzitter,527.0318908691406,247.31668853759766,2
business executive,252.56636810302734,347.8069763183594,2
medewerker,412.52252197265625,129.86630249023438,2
research scientist,412.52252197265625,129.86630249023438,2
senior sales consultant,416.97505950927734,143.81216430664062,2
tax accountant,519.4396209716797,15.761749267578125,2
tax manager,519.4396209716797,15.761749267578125,2
tax senior,519.4396209716797,15.761749267578125,2
contractor,519.4396209716797,15.761749267578125,2
tax associate,519.4396209716797,15.761749267578125,2
tax consultant,519.4396209716797,15.761749267578125,2
tax director,519.4396209716797,15.761749267578125,2
vp marketing,258.55735778808594,402.7189483642578,2
account coordinator,519.9348449707031,159.1708984375,4
director of recruiting,526.3943023681641,149.3306427001953,2
"vice president, business development",463.3556671142578,90.47758483886719,4
chief marketing officer,227.58309173583984,427.2315673828125,4
"vice president, product management",241.63510131835938,431.299072265625,2
design consultant,334.22461771965027,545.72021484375,2
recruitment specialist,331.53642559051514,564.3456420898438,4
director/owner,334.22461771965027,545.72021484375,2
customer service manager,383.234676361084,337.13508224487305,2
owner/director,456.1619186401367,220.90819549560547,2
project leader,583.2879791259766,378.23338317871094,4
environmental scientist,484.32667541503906,147.39576721191406,2
research intern,484.32667541503906,147.39576721191406,2
president & ceo,333.5688171386719,404.67488861083984,2
director of technology,279.34961318969727,401.83882904052734,2
advocate,278.4831123352051,414.3306427001953,2
graphic artist,503.6942443847656,185.93423461914062,14
president & founder,498.6328887939453,215.0128631591797,2
sales & marketing,504.0745086669922,224.84104919433594,2
chief financial officer,119.77122497558594,118.47955322265625,6
owner/ceo,102.29669189453125,110.21455383300781,4
finance & accounting manager,102.29669189453125,110.21455383300781,4
executivo de contas,121.00457763671875,102.35630798339844,2
marketeer,106.379150390625,94.01141357421875,4
help desk analyst,404.51011657714844,277.53828048706055,2
oracle dba,569.2568817138672,140.56150817871094,6
technical project manager,569.2568817138672,140.56150817871094,6
project director,569.2568817138672,140.56150817871094,6
inside sales,418.40318298339844,7.008453369140625,2
chief technical officer,436.1084289550781,0.0,2
impiegato,433.4392852783203,18.945953369140625,2
contributor,433.4392852783203,18.945953369140625,2
investor relations,418.40318298339844,7.008453369140625,2
analista de produto,436.1084289550781,0.0,2
gerente de vendas,602.3080139160156,390.55946350097656,2
proprietário,602.3080139160156,390.55946350097656,2
diretor administrativo,602.3080139160156,390.55946350097656,2
information architect,506.42347717285156,97.77812194824219,2
solution architect,506.42347717285156,97.77812194824219,2
research engineer,506.42347717285156,97.77812194824219,2
director of admissions,506.42347717285156,97.77812194824219,2
retail manager,506.42347717285156,97.77812194824219,2
production supervisor,506.42347717285156,97.77812194824219,2
group director,561.0625762939453,226.7381362915039,2
associate vice president,570.5354766845703,235.44307327270508,2
manager sales,577.8692779541016,217.97830963134766,4
consulting manager,577.8692779541016,217.97830963134766,4
sales rep,309.07232093811035,573.602294921875,6
cfo,306.32799339294434,548.1048583984375,2
managing consultant,309.07232093811035,573.602294921875,6
real estate agent,350.86809062957764,574.8945922851562,2
pharmaceutical sales representative,350.86809062957764,574.8945922851562,2
district manager,332.845321893692,583.3574523925781,6
financial representative,317.8162956237793,590.8536987304688,8
analista de suporte,331.0197696685791,600.2521362304688,4
development associate,316.89343452453613,610.3580627441406,2
director comercial,349.8975257873535,597.31982421875,2
account representative,340.26781487464905,614.77880859375,2
administrative officer,349.8975257873535,597.31982421875,2
gerente de contas,103.58963012695312,127.30635070800781,2
division manager,300.2221450805664,598.13427734375,2
freelance journalist,526.5618896484375,188.20963287353516,8
production engineer,603.8789367675781,169.8450927734375,2
geophysicist,603.8789367675781,169.8450927734375,2
development engineer,603.8789367675781,169.8450927734375,2
asset manager,603.8789367675781,169.8450927734375,2
rotating equipment engineer,603.8789367675781,169.8450927734375,2
head of it,539.7714233398438,173.7543716430664,4
gerente de marketing,542.6871490478516,198.7178192138672,2
commercial manager,526.5618896484375,188.20963287353516,2
corporate communications,542.6871490478516,198.7178192138672,2
producer,526.5618896484375,188.20963287353516,2
community relations manager,559.0198059082031,183.16156005859375,2
distribution manager,559.0198059082031,183.16156005859375,2
